,,,,,,,Accuracy,Accuracy,Specificity,Specificity,Sensitivity,Sensitivity,ROCcurve,ROCcurve,f1,f1
,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std
endpoint,thr,hu,es,epoch,cv,test,,,,,,,,,,
andro,0.44,10,2,1000,30,0.1,0.8978873239436619,0.023080312363637025,0.9475105561141135,0.016632342036403482,0.526159674307137,0.11263602752504444,0.8144961881072968,0.049311896279382816,0.5439595068470712,0.0841768892383936
carcino,0.36,10,2,1000,30,0.1,0.7876923076923078,0.05574887582438335,0.8270008029581709,0.06483869414418578,0.7213332127908606,0.10191379135411603,0.8077809993147808,0.05949490720884045,0.7093658084313943,0.08792027652879675
chrom,0.37,10,2,1000,30,0.1,0.6350427350427351,0.08293165337976234,0.6671005604269615,0.1077317835063014,0.5971669268983509,0.11863037722409492,0.6403872702657253,0.09201446970449478,0.5977326287646625,0.0894200649988167
devtox,0.54,10,2,1000,30,0.1,0.8615819209039549,0.044529197450858635,0.46086385836385835,0.19116620375808396,0.9335232077768162,0.03310687738800497,0.7044541611312518,0.11271869084355823,0.9191044681536727,0.026916435973000606
estro,0.45,10,2,1000,30,0.1,0.9479487179487178,0.02378947086484081,0.9712205957398822,0.016616425118844737,0.6123953823953824,0.19041904391871203,0.831307382772042,0.08429016926891912,0.5896553463736125,0.17375264800853893
hepa,0.62,10,2,1000,30,0.1,0.619753086419753,0.06556008912272471,0.6196316762634267,0.09267100088181408,0.622012975191893,0.10052983287154285,0.636216324450899,0.08226582316000679,0.6280550045490509,0.08365484645095701
muta,0.39,10,2,1000,30,0.1,0.7049382716049384,0.04611928698369406,0.7044599374307907,0.07976470992915861,0.7052807495717107,0.07891985999232538,0.7319698636948406,0.0593327451972402,0.7070913103758537,0.0535928775141678
skin,0.44,10,2,1000,30,0.1,0.6597222222222222,0.09481488652914752,0.748427897924802,0.11733098523928227,0.4771536796536796,0.17807477644590156,0.6467098715244355,0.11867757530963792,0.4573432776373953,0.1552571638975691
