thr,survived,communities,modularity,survivedNorm,delta
0.05,475,22,0.15803447847203292,1.0,0.8419655215279671
0.1,475,15,0.2235322903348932,1.0,0.7764677096651068
0.15,470,12,0.3816198789498246,0.9894736842105263,0.6078538052607017
0.2,467,17,0.5133223072679483,0.9831578947368421,0.46983558746889387
0.25,460,23,0.6510953758939426,0.968421052631579,0.31732567673763634
0.3,434,34,0.744767033933422,0.9136842105263158,0.16891717659289374
0.35,408,49,0.8068400199161687,0.8589473684210527,0.052107348504883966
0.4,362,58,0.8602551150088216,0.7621052631578947,0.09814985185092684
0.45,324,62,0.9110902071741112,0.6821052631578948,0.22898494401621639
0.5,291,63,0.9346069735772731,0.6126315789473684,0.32197539462990465
0.55,238,62,0.9528882467900872,0.5010526315789474,0.4518356152111398
0.6,210,65,0.9601752550306476,0.4421052631578947,0.5180699918727529
0.65,172,58,0.96034173099887,0.36210526315789476,0.5982364678409753
0.7,139,50,0.9535021059962926,0.2926315789473684,0.6608705270489241
0.75,106,40,0.9464683771366595,0.2231578947368421,0.7233104823998174
0.8,83,32,0.935224802906668,0.17473684210526316,0.7604879608014048
0.85,46,18,0.9036100153633186,0.0968421052631579,0.8067679101001608
0.9,35,14,0.8820667969587515,0.07368421052631578,0.8083825864324357
0.95,12,5,0.7415363282620331,0.02526315789473684,0.7162731703672962
