thr,survived,communities,modularity,survivedNorm,delta
0.05,1664,61,0.1334416262673745,1.0,0.8665583737326255
0.1,1664,58,0.17612760499630142,1.0,0.8238723950036986
0.15,1658,36,0.2505327446470167,0.9963942307692307,0.745861486122214
0.2,1648,27,0.3169725338533977,0.9903846153846154,0.6734120815312177
0.25,1618,31,0.3930134001858135,0.9723557692307693,0.5793423690449557
0.3,1588,39,0.5784110288907607,0.9543269230769231,0.37591589418616245
0.35,1544,60,0.7015059659008667,0.9278846153846154,0.22637864948374875
0.4,1479,83,0.7874808861312971,0.8888221153846154,0.10134122925331834
0.45,1394,118,0.8469586150184814,0.8377403846153846,0.009218230403096772
0.5,1283,150,0.8669057516129072,0.7710336538461539,0.09587209776675332
0.55,1173,192,0.89932123056883,0.7049278846153846,0.19439334595344537
0.6,1057,207,0.922916923438174,0.6352163461538461,0.28770057728432785
0.65,923,210,0.9354973052883268,0.5546875,0.38080980528832675
0.7,790,203,0.9369016604848173,0.47475961538461536,0.4621420451002019
0.75,691,199,0.9583055529376093,0.4152644230769231,0.5430411298606863
0.8,563,177,0.961467025209117,0.33834134615384615,0.6231256790552708
0.85,430,143,0.9597036748473958,0.25841346153846156,0.7012902133089343
0.9,329,118,0.9537194781240517,0.19771634615384615,0.7560031319702055
0.95,211,78,0.9302348425852025,0.1268028846153846,0.8034319579698179
