thr,survived,communities,modularity,survivedNorm,delta
0.05,1664,60,0.13345231387576234,1.0,0.8665476861242376
0.1,1664,58,0.17251921779939006,1.0,0.8274807822006099
0.15,1658,40,0.25220127779866675,0.9963942307692307,0.744192952970564
0.2,1648,27,0.3230707744779275,0.9903846153846154,0.6673138409066879
0.25,1618,31,0.40428736290548434,0.9723557692307693,0.568068406325285
0.3,1588,39,0.573353608102017,0.9543269230769231,0.38097331497490616
0.35,1544,61,0.7006691006735529,0.9278846153846154,0.2272155147110625
0.4,1479,84,0.7854000582527085,0.8888221153846154,0.10342205713190689
0.45,1394,117,0.8468902904904285,0.8377403846153846,0.00914990587504394
0.5,1283,150,0.8623531258235845,0.7710336538461539,0.09131947197743062
0.55,1173,192,0.8993212305688304,0.7049278846153846,0.19439334595344582
0.6,1057,207,0.9215674268384656,0.6352163461538461,0.28635108068461945
0.65,923,210,0.9371497825309826,0.5546875,0.3824622825309826
0.7,790,203,0.9369016604848174,0.47475961538461536,0.462142045100202
0.75,691,199,0.9583055529376094,0.4152644230769231,0.5430411298606863
0.8,563,177,0.961467025209117,0.33834134615384615,0.6231256790552708
0.85,430,143,0.9597036748473957,0.25841346153846156,0.7012902133089342
0.9,329,118,0.9537194781240518,0.19771634615384615,0.7560031319702056
0.95,211,78,0.9302348425852025,0.1268028846153846,0.8034319579698179
